Actual_High,Actual_Low,Predicted_High_XGBoost,Predicted_Low_XGBoost
215.97,215.563,215.6705,215.17712
210.48,210.33,210.4969,210.30338
213.145,212.62,213.13103,212.46962
214.09,214.07,214.1011,214.1076
217.185,216.97,217.04544,217.0435
216.09,216.01,216.16457,215.96573
207.44,207.4,207.55609,207.45737
228.37,228.16,228.29065,228.22177
214.349,214.1,214.2986,213.84145
230.88,230.6,230.79016,230.5527
229.33,229.29,229.29579,229.00151
217.05,216.97,216.97838,217.12546
228.3,228.125,228.2939,228.01689
232.63,232.62,232.63869,232.59654
214.49,210.516,216.37251,212.05882
218.28,217.91,218.28543,217.9943
209.86,209.69,209.72879,209.69221
236.445,232.671,237.60742,236.38544
209.94,209.8,209.90904,209.93152
227.82,227.64,227.75046,227.73349
209.76,209.64,209.73793,209.56564
211.04,210.895,211.17583,210.94475
219.86,219.75,219.76303,219.75583
209.12,209.01,209.06812,209.01816
232.7,232.655,232.79483,232.7271
230.15,230.071,230.20735,229.77284
218.21,218.1,218.2686,218.21725
210.0,209.85,209.94579,209.89987
226.49,226.23,226.40767,226.20042
214.17,214.14,214.19933,214.1467
215.255,214.47,215.38022,214.7112
227.48,227.022,227.53415,226.51564
209.2,209.01,209.2588,209.13005
209.84,209.75,209.74983,209.7322
228.69,228.6,228.66039,228.61055
214.7,214.68,214.66641,214.53018
232.2,232.03,232.062,231.94998
214.24,214.15,214.24464,214.2132
219.79,219.7,219.74115,219.67839
210.28,210.1,210.41603,210.04248
228.5,228.46,228.46657,228.36105
220.34,220.27,220.52321,220.3989
231.465,231.155,231.53337,231.2993
208.96,208.89,208.86967,208.82172
211.24,211.2,211.208,211.16158
214.51,214.48,214.52457,214.36023
209.14,209.09,209.14221,209.11673
212.1,212.05,212.18292,212.05978
214.74,214.66,214.66475,214.75517
207.57,207.52,207.60838,207.55814
219.005,218.92,219.10843,218.82791
227.4,226.7,227.4798,226.90924
214.94,214.68,215.04,214.684
209.61,209.56,209.70932,209.55562
230.21,230.19,230.21693,230.13046
213.1,213.05,213.12875,213.09981
215.67,215.56,215.7783,215.60435
219.5,219.47,219.62665,219.41475
214.51,214.23,214.59727,214.26082
212.35,211.83,212.22812,211.76125
226.5,226.45,226.46399,226.55095
227.679,227.62,227.59186,227.81213
214.59,214.5,214.52838,214.49435
227.05,226.88,227.07191,226.9408
217.115,209.744,217.41043,208.40808
210.5,210.33,210.5165,210.31116
211.33,211.229,211.21295,211.16603
211.39,210.62,211.30284,210.69989
225.805,225.73,225.78441,225.55399
221.83,221.25,222.05336,222.08083
228.23,225.775,227.76503,225.08363
227.75,227.65,227.76436,227.76068
214.439,214.39,214.38953,214.34908
211.88,211.81,211.9452,211.80753
215.74,213.74,215.33145,213.53595
213.43,213.34,213.37323,213.34993
210.345,210.15,210.32025,210.08763
212.28,212.225,212.5527,212.1496
214.32,214.15,214.15755,214.09735
213.87,213.59,214.00075,213.64952
229.9,229.79,229.84053,229.73802
